player_slug,player_name,canonical_name,season_end,war
harrish01,Shaquille Harrison,shaquille harrison,2018,1.479425895
harrish01,Shaquille Harrison,shaquille harrison,2019,2.243857
harrish01,Shaquille Harrison,shaquille harrison,2020,2.05735509581141
harrish01,Shaquille Harrison,shaquille harrison,2021,-0.3088041861281789
harrish01,Shaquille Harrison,shaquille harrison,2022,0.0168887695129231
harrito02,Tobias Harris,tobias harris,2017,5.957614254
harrito02,Tobias Harris,tobias harris,2018,5.412827893
harrito02,Tobias Harris,tobias harris,2019,5.121094883
harrito02,Tobias Harris,tobias harris,2020,4.03768074779736
harrito02,Tobias Harris,tobias harris,2021,5.360613854328188
harrito02,Tobias Harris,tobias harris,2022,3.621488377713569
harteis01,Isaiah Hartenstein,isaiah hartenstein,2019,0.10843477
harteis01,Isaiah Hartenstein,isaiah hartenstein,2020,0.313652445543118
harteis01,Isaiah Hartenstein,isaiah hartenstein,2021,1.102293815458468
harteis01,Isaiah Hartenstein,isaiah hartenstein,2022,3.413194500630765
hartjo01,Josh Hart,josh hart,2018,3.10003116
hartjo01,Josh Hart,josh hart,2019,3.184483793
hartjo01,Josh Hart,josh hart,2020,2.67540526557158
hartjo01,Josh Hart,josh hart,2021,2.43111611544624
hartjo01,Josh Hart,josh hart,2022,3.218484086452456
hasleud01,Udonis Haslem,udonis haslem,2017,-0.451243453
hasleud01,Udonis Haslem,udonis haslem,2018,-0.236709731
hasleud01,Udonis Haslem,udonis haslem,2019,-0.092658873
hasleud01,Udonis Haslem,udonis haslem,2020,-0.122085692926981
hasleud01,Udonis Haslem,udonis haslem,2021,0.0775682442773617
hasleud01,Udonis Haslem,udonis haslem,2022,-0.609528065061606
hausesa01,Sam Hauser,sam hauser,2022,0.5334784542677168
hawessp01,Spencer Hawes,spencer hawes,2017,-0.642635895
hayesja02,Jaxson Hayes,jaxson hayes,2020,-0.291581919981049
hayesja02,Jaxson Hayes,jaxson hayes,2021,1.145534844519377
hayesja02,Jaxson Hayes,jaxson hayes,2022,0.1908155347680337
hayeski01,Killian Hayes,killian hayes,2021,-1.873192044960355
hayeski01,Killian Hayes,killian hayes,2022,-1.101221599901634
hayesni01,Nigel Hayes,nigel hayes,2018,0.102048089
haywago01,Gordon Hayward,gordon hayward,2017,9.646079821
haywago01,Gordon Hayward,gordon hayward,2018,-0.032994361
haywago01,Gordon Hayward,gordon hayward,2019,3.550121831
haywago01,Gordon Hayward,gordon hayward,2020,3.41240477965279
haywago01,Gordon Hayward,gordon hayward,2021,2.590914092487833
haywago01,Gordon Hayward,gordon hayward,2022,0.5871950188560155
hearnre01,Reggie Hearn,reggie hearn,2018,-0.005631502
hendege02,Gerald Henderson,gerald henderson,2017,-0.410218354
henryaa01,Aaron Henry,aaron henry,2022,-0.1532220989182725
henrymy01,Myke Henry,myke henry,2018,0.232188881
hensojo01,John Henson,john henson,2017,0.372709527
hensojo01,John Henson,john henson,2018,1.909097923
hensojo01,John Henson,john henson,2019,0.394230793
hensojo01,John Henson,john henson,2020,1.5551075348559
hernade01,Dewan Hernandez,dewan hernandez,2020,0.050252357165406
hernaju01,Juancho Hernangomez,juancho hernangomez,2017,1.620631665
hernaju01,Juancho Hernangomez,juancho hernangomez,2018,0.050140585
hernaju01,Juancho Hernangomez,juancho hernangomez,2019,1.456569373
hernaju01,Juancho Hernangomez,juancho hernangomez,2020,0.829679600787698
hernaju01,Juancho Hernangomez,juancho hernangomez,2021,-0.2033592149021243
hernaju01,Juancho Hernangomez,juancho hernangomez,2022,0.563356476981661
hernawi01,Willy Hernangomez,willy hernangomez,2017,1.226270293
hernawi01,Willy Hernangomez,willy hernangomez,2018,0.631060506
hernawi01,Willy Hernangomez,willy hernangomez,2019,-0.579823768
hernawi01,Willy Hernangomez,willy hernangomez,2020,0.164782509157455
hernawi01,Willy Hernangomez,willy hernangomez,2021,1.176195326563127
hernawi01,Willy Hernangomez,willy hernangomez,2022,0.9871945956326744
herroty01,Tyler Herro,tyler herro,2020,1.42504354789018
herroty01,Tyler Herro,tyler herro,2021,1.531155919896555
herroty01,Tyler Herro,tyler herro,2022,3.606439057518546
herveke01,Kevin Hervey,kevin hervey,2020,-0.276903498449798
hezonma01,Mario Hezonja,mario hezonja,2017,-1.537501491
hezonma01,Mario Hezonja,mario hezonja,2018,1.775629795
hezonma01,Mario Hezonja,mario hezonja,2019,0.22643142
