draft_year,pick,player_slug,player_name,canonical_name,war_first4,cost_first4,bucket,cost_per_war_per_season,war_per_season
2020,19,beysa01,Saddiq Bey,saddiq bey,0.1082339305583376,14373943.0,11-20,33201101.830660462,0.0270584826395844
2020,20,achiupr01,Precious Achiuwa,precious achiuwa,2.0166029950315103,13803083.0,11-20,1711180.0183288334,0.5041507487578776
2020,21,maxeyty01,Tyrese Maxey,tyrese maxey,4.252227841352704,13395094.0,21-30,787533.8822236533,1.063056960338176
2020,25,quickim01,Immanuel Quickley,immanuel quickley,8.166863770504953,11873629.0,21-30,363469.6663755498,2.0417159426262383
2020,26,pritcpa01,Payton Pritchard,payton pritchard,3.8562450576106864,11484071.0,21-30,744511.2297346763,0.9640612644026716
2020,28,mcdanja02,Jaden McDaniels,jaden mcdaniels,2.525880047629582,11089377.0,21-30,1097575.5767189788,0.6314700119073955
2020,29,flynnma01,Malachi Flynn,malachi flynn,1.6596376370378896,11008612.0,21-30,1658285.4826744136,0.4149094092594724
2020,30,banede01,Desmond Bane,desmond bane,10.5325972338011,10928963.0,21-30,259408.07280009927,2.633149308450275
2020,31,terryty01,Tyrell Terry,tyrell terry,0.1242177352334547,5623734.0,31-45,11318299.253787633,0.031054433808363674
2020,35,tillmxa01,Xavier Tillman Sr.,xavier tillman,2.17963699537679,7217751.0,31-45,827861.5906352196,0.5449092488441974
2020,41,jonestr01,Tre Jones,tre jones,1.899984232847394,14930043.0,31-45,1964495.6444750633,0.4749960582118485
2020,44,simonma01,Marko Simonovic,marko simonovic,0.0779790111642847,2727698.0,31-45,8744974.959522562,0.019494752791071174
2020,49,joeis01,Isaiah Joe,isaiah joe,1.5177758487253403,6853442.0,46-60,1128862.6719412592,0.3794439621813351
2020,50,mayssk01,Skylar Mays,skylar mays,0.2553064730648379,2562901.0,46-60,2509631.825266259,0.06382661826620947
2020,56,rillegr01,Grant Riller,grant riller,0.0222879878191911,734875.0,46-60,8242949.138809594,0.005571996954797775
2020,58,reedpa01,Paul Reed,paul reed,1.0477244155486285,12340223.0,46-60,2944529.7868567347,0.2619311038871571
2020,59,harrija01,Jalen Harris,jalen harris,0.3102427839932144,547332.0,46-60,441051.3541645913,0.0775606959983036
2020,60,merrisa01,Sam Merrill,sam merrill,0.0834651322428014,6078829.0,46-60,18207689.955838654,0.02086628306070035
