player_slug,player_name,canonical_name,season_end,war,salary
claxtni01,Nicolas Claxton,nicolas claxton,2021,2.882568433427025,1849950.0
coffeam01,Amir Coffey,amir coffey,2022,1.706179834111542,663253.0
collida01,Darren Collison,darren collison,2017,2.14333903,5229454.0
collida01,Darren Collison,darren collison,2018,7.37388626,10000000.0
collida01,Darren Collison,darren collison,2019,4.035394771,10000000.0
collijo01,John Collins,john collins,2018,2.003056396,2299080.0
collijo01,John Collins,john collins,2019,5.127653744,2299080.0
collijo01,John Collins,john collins,2020,1.65402855705898,2686560.0
collijo01,John Collins,john collins,2021,6.799817317560475,5042094.0
collijo01,John Collins,john collins,2022,3.600208716442046,26595993.0
collini01,Nick Collison,nick collison,2017,0.08012572,3750000.0
colliza01,Zach Collins,zach collins,2019,0.542222846,3628920.0
colliza01,Zach Collins,zach collins,2020,0.450297762263481,4240200.0
conlemi01,Mike Conley,mike conley,2017,11.57131684,26540100.0
conlemi01,Mike Conley,mike conley,2018,1.166249968,28530608.0
conlemi01,Mike Conley,mike conley,2019,10.75563906,30521115.0
conlemi01,Mike Conley,mike conley,2020,2.02380870296965,32511624.0
conlemi01,Mike Conley,mike conley,2021,8.419667472812371,42047453.0
conlemi01,Mike Conley,mike conley,2022,6.713103321569532,24283298.0
connapa01,Pat Connaughton,pat connaughton,2017,0.008175167,874636.0
connapa01,Pat Connaughton,pat connaughton,2018,1.823280478,1471382.0
connapa01,Pat Connaughton,pat connaughton,2019,2.468816375,1641000.0
connapa01,Pat Connaughton,pat connaughton,2020,1.46175583768249,1723050.0
connapa01,Pat Connaughton,pat connaughton,2021,4.974192277288484,6018231.0
connapa01,Pat Connaughton,pat connaughton,2022,3.680611241018695,6167187.0
couside01,DeMarcus Cousins,demarcus cousins,2017,9.986797754,16957900.0
couside01,DeMarcus Cousins,demarcus cousins,2018,4.722471671,18063850.0
couside01,DeMarcus Cousins,demarcus cousins,2019,2.970450892,5337000.0
couside01,DeMarcus Cousins,demarcus cousins,2021,1.726368299179451,3719241.0
couside01,DeMarcus Cousins,demarcus cousins,2022,2.237431334481337,2357725.0
covinro01,Robert Covington,robert covington,2017,5.290169939,1015696.0
covinro01,Robert Covington,robert covington,2018,10.36348137,10464092.0
covinro01,Robert Covington,robert covington,2019,3.375306758,10464092.0
covinro01,Robert Covington,robert covington,2020,5.82266972985853,11301219.0
covinro01,Robert Covington,robert covington,2021,6.641466916223806,14792897.0
covinro01,Robert Covington,robert covington,2022,4.628683417259376,15004153.0
crabbal01,Allen Crabbe,allen crabbe,2017,0.211525538,18500000.0
crabbal01,Allen Crabbe,allen crabbe,2018,4.385720569,18500000.0
crabbal01,Allen Crabbe,allen crabbe,2019,0.418546004,18500000.0
craigto01,Torrey Craig,torrey craig,2019,2.514936996,2000000.0
craigto01,Torrey Craig,torrey craig,2020,0.441361066411615,2000000.0
craigto01,Torrey Craig,torrey craig,2021,0.8018528056451548,2046005.0
craigto01,Torrey Craig,torrey craig,2022,0.471482289070438,5640719.0
crawfjo02,Jordan Crawford,jordan crawford,2017,0.751918245,173099.0
crawfjo02,Jordan Crawford,jordan crawford,2018,0.026210967,58190.0
creekmi01,Mitchell Creek,mitchell creek,2019,0.084107303,47371.0
crowdja01,Jae Crowder,jae crowder,2017,7.804251409,6286408.0
crowdja01,Jae Crowder,jae crowder,2018,0.729572953,6796117.0
crowdja01,Jae Crowder,jae crowder,2019,3.78576218,7305825.0
crowdja01,Jae Crowder,jae crowder,2020,3.32956672914328,7815533.0
crowdja01,Jae Crowder,jae crowder,2021,7.654542074988829,11282645.0
crowdja01,Jae Crowder,jae crowder,2022,4.546936802261867,11240738.0
cunnica01,Cade Cunningham,cade cunningham,2022,1.151160650886816,11621431.0
cunnida01,Dante Cunningham,dante cunningham,2017,1.324776682,2978250.0
curryse01,Seth Curry,seth curry,2017,4.629249836,2898000.0
curryse01,Seth Curry,seth curry,2019,2.602177333,2795000.0
curryse01,Seth Curry,seth curry,2020,2.53877943789894,7461380.0
curryse01,Seth Curry,seth curry,2021,3.102354723057291,9547776.0
curryse01,Seth Curry,seth curry,2022,3.456124350615775,9490743.0
curryst01,Stephen Curry,stephen curry,2017,20.65330419,12112359.0
curryst01,Stephen Curry,stephen curry,2018,11.84730741,37457154.0
curryst01,Stephen Curry,stephen curry,2019,17.5661287,37457154.0
curryst01,Stephen Curry,stephen curry,2020,0.557403771526079,40231758.0
curryst01,Stephen Curry,stephen curry,2021,10.76057463945118,52411485.0
curryst01,Stephen Curry,stephen curry,2022,14.92691877974969,52938707.0
danietr01,Troy Daniels,troy daniels,2017,1.883603769,3332940.0
danietr01,Troy Daniels,troy daniels,2019,0.092194282,3258539.0
davisan02,Anthony Davis,anthony davis,2017,10.80842731,22116750.0
davisan02,Anthony Davis,anthony davis,2018,12.81229307,23775506.0
davisan02,Anthony Davis,anthony davis,2019,9.609615264,25434263.0
davisan02,Anthony Davis,anthony davis,2020,15.4931700614026,27093018.0
davisan02,Anthony Davis,anthony davis,2021,4.316941218934665,39902395.0
davisan02,Anthony Davis,anthony davis,2022,3.734707536481999,40890021.0
davisde01,Deyonta Davis,deyonta davis,2017,0.141474093,1369299.0
davisde01,Deyonta Davis,deyonta davis,2019,0.10858294,25367.0
davised01,Ed Davis,ed davis,2018,2.71531587,6352531.0
davised01,Ed Davis,ed davis,2019,2.616817004,4449000.0
daviste02,Terence Davis,terence davis,2020,3.08492669648015,898310.0
daviste02,Terence Davis,terence davis,2021,0.2112041308379873,1849950.0
daviste02,Terence Davis,terence davis,2022,1.379427339872831,4625390.0
deckga01,Gabriel Deck,gabriel deck,2021,0.1480247867458227,4716786.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2017,3.508942943,2898000.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2018,1.840296146,7200000.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2019,2.466204847,7200000.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2020,0.298772611394303,13333333.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2021,0.4568067491006534,4201411.0
dedmode01,Dewayne Dedmon,dewayne dedmon,2022,0.6623358497223726,6078118.0
dekkesa01,Sam Dekker,sam dekker,2017,1.658242341,1720560.0
dekkesa01,Sam Dekker,sam dekker,2018,0.814566641,1794600.0
delauja01,Javin DeLaurier,javin delaurier,2022,0.0275009052531252,61489.0
dellama01,Matthew Dellavedova,matthew dellavedova,2019,0.897827177,9607500.0
dellama01,Matthew Dellavedova,matthew dellavedova,2020,1.49956745519096,9607500.0
denglu01,Luol Deng,luol deng,2017,1.212913741,18000000.0
denglu01,Luol Deng,luol deng,2018,0.055758173,17190000.0
denglu01,Luol Deng,luol deng,2019,1.15962186,1512601.0
derozde01,DeMar DeRozan,demar derozan,2017,4.455533563,26540100.0
derozde01,DeMar DeRozan,demar derozan,2018,6.305071965,27739975.0
derozde01,DeMar DeRozan,demar derozan,2019,4.370055795,27739975.0
derozde01,DeMar DeRozan,demar derozan,2020,3.33085372142824,27739975.0
derozde01,DeMar DeRozan,demar derozan,2021,3.528724050596721,33806470.0
derozde01,DeMar DeRozan,demar derozan,2022,6.185912524225429,30065035.0
diakima01,Mamadi Diakite,mamadi diakite,2021,0.1188986619788579,645103.0
diallch01,Cheick Diallo,cheick diallo,2019,0.189073896,1544951.0
diallch01,Cheick Diallo,cheick diallo,2020,0.485924992527752,1678854.0
diallha01,Hamidou Diallo,hamidou diallo,2020,0.725261759482046,1416852.0
diallha01,Hamidou Diallo,hamidou diallo,2021,1.137552854681114,2027733.0
diallha01,Hamidou Diallo,hamidou diallo,2022,2.05395584376103,6013007.0
